Material,Type of concrete,Lateral load resisting  system,Height,Irregularities,Ductility,Type of block
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Dual system,Unknown,Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Low rise (<3 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Mid rise (4-6 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,High-rise (7-12 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Tall (>12 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Braced frame,Unknown,Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Low rise (<3 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Mid rise (4-6 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,High-rise (7-12 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Tall (>12 floors),Unknown,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Regular,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-soft storey,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-soft storey,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-torsion,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-torsion,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Irregular-torsion,Unknown,- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Unknown,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Unknown,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Unknown,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Pre-cast,Unknown,Unknown,Unknown,Unknown,- 	
Composite (concrete + steel),Unknown,Moment frame,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Unknown,Moment frame,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),- 	
Composite (concrete + steel),Unknown,Moment frame,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),- 	
Composite (concrete + steel),Unknown,Moment frame,Low rise (<3 floors),Regular,Unknown,- 	
Composite (concrete + steel),Unknown,Moment frame,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),- 	
Composite (concrete + steel),Unknown,Moment frame,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),- 	
